"Phylum"	"count"	"barcodes"	"percentage"	"det"	"det_cov"
"1"	"Acanthocephala"	7	3	43	0	0
"2"	"Annelida"	497	164	33	39	25
"3"	"Arthropoda"	664	300	45	49	48
"4"	"Brachiopoda"	1	0	0	0	0
"5"	"Bryozoa"	122	10	8	6	1
"6"	"Chaetognatha"	2	1	50	0	0
"7"	"Chordata"	279	242	87	38	37
"8"	"Cnidaria"	197	86	44	30	26
"9"	"Ctenophora"	6	0	0	1	0
"10"	"Echinodermata"	69	54	78	9	9
"11"	"Gastrotricha"	17	3	18	1	1
"12"	"Gnathostomulida"	12	0	0	1	0
"13"	"Hemichordata"	2	0	0	0	0
"14"	"Kamptozoa"	32	0	0	0	0
"15"	"Kinorhyncha"	6	1	17	1	0
"16"	"Mollusca"	383	227	59	46	39
"17"	"Nematoda"	27	1	4	1	0
"18"	"Nemertea"	29	8	28	2	1
"19"	"Phoronida"	2	0	0	0	0
"20"	"Platyhelminthes"	117	5	4	1	1
"21"	"Porifera"	39	6	15	3	2
"22"	"Priapulida"	2	2	100	0	0
"23"	"Rotifera"	44	7	16	0	0
"24"	"Sipuncula"	13	2	15	0	0
"25"	"Xenacoelomorpha"	6	0	0	1	0
